# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260501-20260531
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Referral,Referral,Organic Social,Organic Social,Email,Email,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,70698,645439,70975,122834,11369,25894,11572,13879,3853,4466,166270,813962,Grand total
Press Room | HHS.gov,/press-room/index.html,20971,539109,3844,25348,896,8930,106,882,19,52,25650,574440
Trump Administration Prioritizes Affordability by Announcing Major Crackdown on Health Care Fraud | HHS.gov,/press-room/trump-administration-prioritizes-affordability-announcing-major-crackdown-health-care-fraud.html,239,384,403,460,21,33,14,18,0,0,677,895
HHS and CMS Announce Healthcare Advisory Committee Members to Improve Patient Care and Modernize the U.S. Healthcare System | HHS.gov,/press-room/hhs-cms-announce-healthcare-advisory-committee-members-improve-patient-care.html,302,516,349,472,22,31,3,11,0,0,675,1030
FDA Takes Steps to Restrict 7-OH Opioid Products Threatening American Consumers | HHS.gov,/press-room/fda-7-oh-scheduling-recommendation.html,112,124,480,541,24,29,14,17,8,9,636,720
ACF Notifies 39 Governors That States Are Diverting Foster Youths’ Earned Social Security Survivor Benefits | HHS.gov,/press-room/states-are-diverting-earned-social-security.html,376,399,97,129,154,168,0,0,0,0,623,696
SAMHSA Announces More Than $69 Million in Funding Opportunities for Serious Mental Illness and Suicide Prevention Grant Programs | HHS.gov,/press-room/samhsa-grants-serious-mental-illness-suicide-prevention.html,228,389,339,401,38,56,0,0,0,0,612,856
"Secretary Kennedy Advances MAHA Agenda in Arizona with Focus on Prevention, Recovery, and Tribal Health | HHS.gov",/press-room/secretary-kennedy-advances-maha-agenda-arizona-focus-prevention-recovery-tribal-health.html,470,654,91,109,21,28,0,0,0,0,579,791
HHS Reinforces Religious and Conscience Exemptions from Childhood Vaccine Mandates | HHS.gov,/press-room/hhs-reinforces-religious-conscience-vaccine-exemptions.html,88,128,426,508,18,27,41,48,0,0,569,711
RFK Jr.: HHS Moves to Restore Public Trust in Vaccines | HHS.gov,/press-room/wsj-kennedy-op-ed-restore-public-trust-in-vaccines.html,120,133,433,498,12,21,0,0,0,0,569,659
RFK Jr.: We’re Restoring Public Trust in the CDC | HHS.gov,/press-room/wsj-kennedy-op-ed-restore-public-trust-in-cdc.html,338,378,142,164,70,73,21,28,0,0,569,643
HHS Secretary Kennedy Directs FDA to Explore Rulemaking to Eliminate Pathway for Companies to Self-Affirm Food Ingredients Are Safe | HHS.gov,/press-room/revising-gras-pathway.html,238,271,250,308,62,75,7,7,0,0,556,669
"HHS Aligns Health Technology Leadership to Deliver Data Liquidity, Affordability, and an AI-Enabled Health Care System for Americans | HHS.gov",/press-room/hhs-health-tech-leadership-deliver-data-liquidity-affordability-ai-enabled-health-care-system.html,327,525,166,222,62,70,5,13,0,0,558,830
Secretary Kennedy Appoints New Interagency Autism Coordinating Committee to Advance Fight Against Autism | HHS.gov,/press-room/hhs-kennedy-appoints-new-interagency-autism-coordinating-committee.html,236,365,248,370,22,23,23,25,13,13,540,796
FDA Launches Framework for Accelerating Development of Individualized Therapies for Ultra-Rare Diseases | HHS.gov,/press-room/fda-launches-framework-accelerating-development-individualized-therapies-ultra-rare-diseases.html,342,498,147,175,28,39,17,18,0,0,534,730
