# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260501-20260531
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Referral,Referral,Organic Social,Organic Social,Email,Email,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,70698,645439,70975,122834,11369,25894,11572,13879,3853,4466,166270,813962,Grand total
Press Room | HHS.gov,/press-room/index.html,20971,539109,3844,25348,896,8930,106,882,19,52,25650,574440
"HHS, FDA Praise Consumer Brands Association’s Vow to Remove Artificial Colors from America’s Food Supply | HHS.gov",/press-room/fda-praises-consumer-brands-pledge-to-remove-artificial-dyes.html,73,81,0,0,0,0,0,0,0,0,73,81
"WTAS: Secretary Kennedy Adds Duchenne Muscular Dystrophy, Metachromatic Leukodystrophy to Newborn Screenings | HHS.gov",/press-room/wtas-secretary-kennedy-adds-duchenne-muscular-dystrophy-metachromatic-leukodystrophy-to-newborn-screenings.html,71,79,0,0,0,0,0,0,0,0,71,79
Joint Task Force Statement Regarding Columbia University | HHS.gov,/press-room/hhs-anti-semitism-joint-task-force-columbia-university-statement.html,69,69,0,0,0,0,0,0,0,0,69,69
"HHS Secretary Kennedy, FDA Commissioner Makary to Hold Press Event on Intent to Remove Petroleum-Based Synthetic Dyes in Nation’s Food Supply | HHS.gov",/press-room/hhs-kennedy-fda-makary-food-dyes.html,68,68,0,0,0,0,0,0,0,0,68,68
HHS’ Civil Rights Office Finds Columbia University in Violation of Federal Civil Rights Law | HHS.gov,/press-room/ocr-columbia-violates-federal-civil-rights-law.html,22,25,35,109,7,7,0,0,0,0,62,141
Page Not Found | HHS.gov,/press-room/joint-statement-on-preeminence-of-us-government-regulating-health-risks-for-americans.html,37,53,14,26,9,13,0,0,0,0,60,92
HHS Office for Civil Rights Settles HIPAA Ransomware Cybersecurity Investigation with Neurology Practice | HHS.gov,/press-room/ocr-hipaa-racap-np.html,37,37,9,14,10,11,0,0,0,0,56,62
"HHS’ Civil Rights Office Clarifies Race-Based Prohibitions for Medical Schools to Advance Values of Initiative, Hard Work, and Excellence | HHS.gov",/press-room/guidance-med-schools-dear-colleague-letter.html,8,8,37,44,6,8,0,0,0,0,51,60
HHS Secretary Kennedy to Hold Press Conference on Latest CDC Data Showing Alarming Increase of Autism Epidemic | HHS.gov,/press-room/hhs-secretary-kennedy-press-conference-cdc-data-autism-epidemic.html,35,37,12,12,0,0,0,0,0,0,47,49
HHS’ Civil Rights Office Investigates Alleged Discrimination in Health Care Workforce and Training to Restore Merit-Based Opportunity | HHS.gov,/press-room/restoring-merit-based-opportunity.html,8,9,37,42,0,0,0,0,0,0,45,51
Measles Outbreak is Call to Action for All of Us | HHS.gov,/press-room/measles-outbreak-call-to-action-for-all-of-us.html,20,21,25,35,0,0,0,0,0,0,45,56
President Donald J. Trump Nominates Individuals to Key Posts at the Department of Health and Human Services | HHS.gov,/press-room/potus-nominates-key-hhs-positions.html,17,18,28,32,0,0,0,0,0,0,45,50
"HHS’ Office for Civil Rights Settles HIPAA Ransomware Security Rule Investigation with BST & Co. CPAs, LLP | HHS.gov",/press-room/hhs-ocr-bst-hipaa-settlement.html,17,18,20,42,7,10,0,0,0,0,43,70
Secretary Kennedy Embarks on MAHA Tour | HHS.gov,/press-room/hhs-secretary-kennedy-embarks-maha-tour.html,18,18,26,27,0,0,0,0,0,0,44,45
HHS Acts to Protect Health Care Workers’ Conscience Rights | HHS.gov,/press-room/hhs-protects-workers-conscience-rights.html,9,9,25,30,8,8,0,0,0,0,42,47
"HHS, FDA Announce Chemical Contaminants Transparency Tool for Foods | HHS.gov",/press-room/chemical-contaminant-food-fda-research-tool.html,12,12,28,46,0,0,0,0,0,0,40,58
HHS Office of General Counsel Announces Reorganization Effort | HHS.gov,/press-room/ogc-reorganization-effort.html,15,15,23,27,0,0,0,0,0,0,38,42
HHS’ Office for Civil Rights Settles HIPAA Privacy and Security Rule Investigation with a Behavioral Health Provider | HHS.gov,/press-room/ocr-hipaa-racap-deer-oaks.html,19,29,19,25,0,0,0,0,0,0,38,54
HHS Supports State Legislation Banning Harmful Food Dyes From School Lunches in West Virginia | HHS.gov,/press-room/west-virginia-morrisey-ban-food-dyes-schools-snap.html,18,18,6,7,13,15,0,0,0,0,37,40
HHS Office for Civil Rights Settles HIPAA Security Rule Investigation with Northeast Radiology | HHS.gov,/press-room/hhs-ocr-hipaa-settlement-nerad.html,14,15,13,13,9,13,0,0,0,0,35,41
HHS Takes Action to Protect Whistleblowers who Defend Children and Launches First Conscience Investigation | HHS.gov,/press-room/hhs-launches-whistleblower-form-to-protect-kids.html,8,10,19,26,9,11,0,0,0,0,36,47
"HHS, DOJ Move to End Sexual Abuse and Harassment of Unaccompanied Alien Children in Shelters Operated by Southwest Key Programs | HHS.gov",/press-room/protecting-uacs-from-abuse.html,11,11,18,21,0,0,7,7,0,0,36,39
HHS Investigates State Health Department to Protect Conscience Rights and Ensure Equal Treatment of Faith-Based Organizations | HHS.gov,/press-room/ocr-investigates-state-to-protect-conscience-and-faith-based-organizations.html,21,21,11,12,0,0,0,0,0,0,32,33
HHS Demands that Duke University Address Systemic Allegations of Race Discrimination | HHS.gov,/press-room/hhs-demands-duke-address-race-discrimination-allegations.html,7,8,22,25,0,0,0,0,0,0,29,33
OCR Releases Notice of Violation to Columbia University | HHS.gov,/press-room/ocr-releases-nov-to-columbia.html,29,29,0,0,0,0,0,0,0,0,29,29
HHS Office for Civil Rights Settles HIPAA Ransomware Cybersecurity Investigation with Public Hospital | HHS.gov,/press-room/hhs-ocr-hipaa-recap-gmha.html,20,21,0,0,6,10,0,0,0,0,26,31
HHS Office for Civil Rights Settles HIPAA Cybersecurity Investigation with Vision Upright MRI | HHS.gov,/press-room/hhs-hipaa-investigate-vum.html,11,12,9,12,5,7,0,0,0,0,25,31
HHS’ Office for Civil Rights Refers Harvard University for Suspension and Debarment Proceedings | HHS.gov,/press-room/ocr-refers-harvard-suspension-debarment.html,7,8,14,16,0,0,0,0,0,0,21,24
"DOJ, HHS, ED, and GSA Announce Initial Cancellation of Grants and Contracts to Columbia University Worth $400 Million | HHS.gov",/press-room/task-force-cancels-columbia-university-grants.html,20,21,0,0,0,0,0,0,0,0,20,21
"HHS Office for Civil Rights Settles HIPAA Ransomware Cybersecurity Investigation with Comstar, LLC | HHS.gov",/press-room/hhs-hipaa-comstar-agreement.html,14,15,6,9,0,0,0,0,0,0,20,24
"HHS, ED, and GSA Initiate Federal Contract and Grant Review of Harvard University | HHS.gov",/press-room/task-force-antisemitism-harvard-contracts-grants.html,13,13,4,17,0,0,0,0,0,0,17,30
HHS’ Civil Rights Office Investigates California Medical School for Discriminatory Race-Based Admissions | HHS.gov,/press-room/ocr-investigates-medical-school-discriminatory-admissions.html,8,10,9,10,0,0,0,0,0,0,17,20
HHS’ Office for Civil Rights Works with North Carolina to Help Young Adult Living in a Hospital Move to the Community | HHS.gov,/press-room/ocr-nc-dhhs-agreement-olmstead.html,8,9,8,9,0,0,0,0,0,0,16,18
HHS’ Civil Rights Office Acts Swiftly to Combat Anti-Semitism | HHS.gov,/press-room/combating-anti-semitism.html,9,10,6,7,0,0,0,0,0,0,15,17
HHS’ Office for Civil Rights Settles HIPAA Ransomware Investigation with Syracuse ASC | HHS.gov,/press-room/ocr-hipaa-racap-syracuse-asc.html,8,9,7,9,0,0,0,0,0,0,15,18
HHS' Civil Rights Office Launches Investigation into Alleged Civil Rights Violations in Legal Scholarship Program Operated Nationwide | HHS.gov,/press-room/ocr-investigates-alleged-bias-in-legal-scholarship-program.html,0,0,13,14,0,0,0,0,0,0,13,14
Statement from the Department of Health and Human Services | HHS.gov,/press-room/statement-research-using-human-fetal-tissue.html,0,0,12,13,0,0,0,0,0,0,12,13
U.S. Department of Education and U.S. Department of Health and Human Services Find that Minnesota Violated Title IX | HHS.gov,/press-room/ocr-ed-hhs-find-mn-violates-title-nine.html,0,0,12,16,0,0,0,0,0,0,12,16
Fact Sheet: CDC Childhood Immunization Recommendations | HHS.gov,/press-room/fact-sheet-cdc-childhood-immunization-recommendations.html,4,8,6,14,0,0,0,0,0,0,10,22
Joint Task Force Statement Regarding Harvard University | HHS.gov,/press-room/anti-semitism-task-force-statement-on-harvard-contracts-grants.html,10,10,0,0,0,0,0,0,0,0,10,10
HHS’ Office for Civil Rights Settles HIPAA Security Rule Investigation with Health Fitness Corporation | HHS.gov,/press-room/ocr-settles-hipaa-security-rule-investigation-health-fitness-corporation.html,0,0,9,10,0,0,0,0,0,0,9,10
"ED, HHS Launch Title VI Investigations of Harvard University and Harvard Law Review Amid Allegations of Discriminatory Practices | HHS.gov",/press-room/hhs-ed-title-vi-investigation-harvard-law-review.html,0,0,8,12,0,0,0,0,0,0,8,12
HHS Investigates a Major Health System in Michigan to Safeguard Health Care Workers’ Conscience Rights | HHS.gov,/press-room/ocr-investigates-health-system-in-michigan.html,0,0,8,8,0,0,0,0,0,0,8,8
HHS Office for Civil Rights Works with Alabama to Help Young Adult with Autism Move from a State Institution to a Home in the Community | HHS.gov,/press-room/ocr-olmstead-resolution-alabama-department-mental-health.html,0,0,8,9,0,0,0,0,0,0,8,9
HHS’ Civil Rights Office Determines that Maine Violates Title IX by Allowing Males in Women’s Sports | HHS.gov,/press-room/hhs-civil-rights-office-determines-maine-violates-title-ix-allowing-males-womens-sports.html,7,7,0,0,0,0,0,0,0,0,7,7
Page Not Found | HHS.gov,/press-room/measles-outbreak-call-to-action.html,0,0,0,0,7,9,0,0,0,0,7,9
Kennedy Celebrates Bold State and Tribal Leadership on MAHA Tour | HHS.gov,/press-room/secretary-kennedy-maha-tour-arizona-utah-new-mexico.html,0,0,6,8,0,0,0,0,0,0,6,8
CDC Acts on Presidential Memorandum to Update Childhood Immunization Schedule | HHS.gov,/press-room/cdc-acts-presidential-memorandum-update-childhood-immunization-schedule.html,0,0,2,17,0,0,0,0,1,23,3,40
新闻发布室 |HHS.gov,/press-room/index.html,0,0,3,13,0,0,0,0,0,0,3,13
Page Not Found | HHS.gov,/press-room/trump-administration-launches-moms-gov-for-new-and-expecting-mothers.html,0,0,1,11,0,0,0,0,0,0,1,11

