# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260601-20260630
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Organic Social,Organic Social,Referral,Referral,SMS,SMS,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,69114,907588,60703,99950,13150,21156,10208,17577,6011,8807,161955,1067320,Grand total
Press Room | HHS.gov,/press-room/index.html,20270,784941,3345,18322,79,6052,816,2598,26,33,24514,815197
"Kennedy, Rollins Unveil Historic Reset of U.S. Nutrition Policy, Put Real Food Back at Center of Health | HHS.gov",/press-room/historic-reset-federal-nutrition-policy.html,329,355,432,539,14,14,60,67,0,0,874,1027
WTAS: HHS Launches MAHA Action Plan to Curb Psychiatric Overprescribing | HHS.gov,/press-room/wtas-hhs-launches-maha-action-plan-curb-psychiatric-overprescribing.html,290,747,513,660,8,8,23,28,0,0,830,1452
"‘Autism Epidemic Runs Rampant,’ New Data Shows 1 in 31 Children Afflicted | HHS.gov",/press-room/autism-epidemic-runs-rampant-new-data-shows-grants.html,228,253,546,651,18,18,29,36,0,0,828,970
WTAS: HHS Calls For Urgent Action To Reduce Harmful Screen Use And Protect Children Online | HHS.gov,/press-room/wtas-secretary-kennedy-announces-hhs-action-reduce-harmful-screen-use-protect-children-online.html,654,1111,134,188,7,9,27,39,0,0,826,1356
"Secretary Kennedy Celebrates Landmark Iowa MAHA Legislation, Announces First-Ever Surgeon General Warning on Excessive Screen Time | HHS.gov",/press-room/iowa-maha-bill-screen-time-advisory-warning.html,601,1054,145,169,0,0,22,31,51,77,823,1346
MAHA Commission Unveils Sweeping Strategy to Make Our Children Healthy Again | HHS.gov,/press-room/maha-commission-report-childhood-disease-strategy.html,162,237,519,606,0,0,56,66,0,0,744,934
HHS Announces Restructuring of its Office for Civil Rights | HHS.gov,/press-room/hhs-announces-restructuring-of-its-office-for-civil-rights.html,220,276,340,470,17,23,80,115,0,0,741,982
HHS Releases Peer-Reviewed Report Discrediting Pediatric Sex-Rejecting Procedures | HHS.gov,/press-room/hhs-releases-peer-reviewed-report-discrediting-pediatric-sex-rejecting-procedures.html,183,231,474,617,23,23,61,74,0,0,740,945
CDC Immunization Schedule Adopts Individual-Based Decision-Making for COVID-19 and Standalone Vaccination for Chickenpox in Toddlers | HHS.gov,/press-room/cdc-immunization-schedule-individual-decision-covid19-standalone-chickenpox-toddlers.html,625,690,72,91,7,8,23,26,0,0,726,815
HHS’ Office for Civil Rights Settles Four HIPAA Security Rule Ransomware Investigations | HHS.gov,/press-room/ocr-settles-four-ransomware-investigations.html,231,292,282,410,101,117,58,106,0,0,686,978
HHS Announces Transformation to Make America Healthy Again | HHS.gov,/press-room/hhs-restructuring-doge.html,185,236,378,478,9,9,83,108,0,0,684,899
HHS Freezes Child Care and Family Assistance Grants in Five States for Fraud Concerns | HHS.gov,/press-room/hhs-freezes-child-care-family-assistance-grants-five-states-fraud-concerns.html,238,261,382,475,28,28,33,42,0,0,677,806
"HHS, USDA Announce Investments to Expand Protein Access, Strengthen Cold Chain Infrastructure | HHS.gov",/press-room/hhs-usda-announce-investments-expand-protein-access-strengthen-cold-chain-infrastructure.html,411,1348,157,218,19,18,63,86,0,0,663,1707
HHS Winds Down mRNA Vaccine Development Under BARDA | HHS.gov,/press-room/hhs-winds-down-mrna-development-under-barda.html,190,204,250,317,174,186,34,53,0,0,660,788
"ARPA-H launches groundbreaking, $144 million program to combat toxic microplastics in the human body | HHS.gov",/press-room/arpa-h-launches-groundbreaking-144-million-program-combat-toxic-microplastics-human-body.html,325,820,228,300,11,20,74,111,0,0,654,1279
"Secretary Kennedy Restores the Presidential Fitness Test, Launches Get Kids Active | HHS.gov",/press-room/secretary-kennedy-restores-presidential-fitness-test-launches-get-kids-active.html,268,306,310,363,11,14,42,55,0,0,628,738
Page Not Found | HHS.gov,/press-room/cdc-acts-presidential-memorandum-update-childhood-immunization-schedule.html,255,316,89,131,146,155,105,146,0,0,600,757
HHS and USDA Confirm Singular Traveler-Associated New World Screwworm Case; Precautionary and Proactive Surveillance Ongoing | HHS.gov,/press-room/hhs-cdc-usda-traveler-associated-screwworm-case-surveillance.html,381,419,94,109,8,9,108,123,0,0,593,667
CMS Announces $50 Billion in Awards to Strengthen Rural Health in All 50 States | HHS.gov,/press-room/cms-announces-50-billion-in-awards-to-strengthen-rural-health-in-all-50-states.html,222,257,328,418,0,0,24,33,0,0,590,740
HHS Informs Covered Entities of Partial Vacatur of 2024 ACA Nondiscrimination Final Rule; Core Protections Remain in Effect post Tennessee v. Kennedy | HHS.gov,/press-room/informs-covered-entities-partial-vacatur-2024-aca-nondiscrimination-final-rule-tennessee-v-kennedy.html,257,314,266,354,13,14,48,58,0,0,581,751
HHS’ Office for Civil Rights Settles Ransomware Investigation with Health Plan | HHS.gov,/press-room/ocr-settles-ransomware-investigation-health-plan.html,199,235,192,255,72,81,112,152,0,0,581,743
"ARPA-H announces first research teams for $139 million initiative to transform behavioral health and bring new, more precise and effective treatments to Americans | HHS.gov",/press-room/arpa-h-announces-research-teams-initiative-transform-behavioral-health.html,300,772,255,326,8,12,18,31,0,0,580,1141
HHS Secretary Kennedy Directs FDA to Explore Rulemaking to Eliminate Pathway for Companies to Self-Affirm Food Ingredients Are Safe | HHS.gov,/press-room/revising-gras-pathway.html,248,269,229,268,4,7,64,81,0,0,559,658
HHS Announces Crackdown on Health Data Blocking | HHS.gov,/press-room/hhs-crackdown-health-data-blocking.html,154,187,316,378,0,0,50,59,0,0,519,633
HHS Launches Phase 1 of the Cultivating Connected Communities Challenge | HHS.gov,/press-room/hhs-launches-phase-1-of-the-cultivating-connected-communities-challenge.html,434,884,72,93,0,0,13,13,0,0,519,990
FDA Accelerates Action on Treatments for Serious Mental Illness Following Executive Order | HHS.gov,/press-room/fda-accelerates-action-treatments-serious-mental-illness-following-executive-order.html,263,716,241,315,0,0,14,17,0,0,517,1048
United States Completes WHO Withdrawal | HHS.gov,/press-room/united-states-completes-who-withdrawal.html,259,269,194,239,12,18,14,16,0,0,496,567
"ARPA-H Launches New Program to Deliver Rigorous, Gold-Standard Research Faster | HHS.gov",/press-room/arpa-h-launches-intelligent-generator-of-research-igor-program.html,269,718,172,219,10,10,19,27,0,0,474,981
FACT SHEET: Secretary Kennedy and Secretary McMahon Celebrate Medical School Commitments to Increase Nutrition Training for Future Doctors | HHS.gov,/press-room/fact-sheet-sec-kennedy-sec-mcmahon-celebrate-med-school-commitments-to-increase-nutrition-training-for-future-doctors.html,120,171,270,351,23,23,40,72,0,0,455,625
"HHS, USDA, and EPA Announce Over $1B in Investments and Plan to Accelerate Progress on Farm Modernization and Long-Term Food Supply Security | HHS.gov",/press-room/hhs-usda-epa-announce-one-billion-investments-plan-accelerate-progress-farm-modernization-long-term-food-supply-security.html,274,765,150,247,0,0,37,50,0,0,455,1062
FDA Takes Steps to Restrict 7-OH Opioid Products Threatening American Consumers | HHS.gov,/press-room/fda-7-oh-scheduling-recommendation.html,97,105,333,386,0,0,20,24,0,0,455,524
"TEFCA™, America’s National Interoperability Network, Reaches Nearly 500 Million Health Records Exchanged as HHS Leverages Technology and AI to Lower Costs and Reduce Burden | HHS.gov",/press-room/tefca-americas-national-interoperability-network-reaches-nearly-500-million-health-records-exchanged.html,223,678,174,229,0,0,29,34,0,0,449,984
SAMHSA Awards $255 Million to Administer 988 Lifeline | HHS.gov,/press-room/samhsa-awards-255-million-to-administer-988-lifeline.html,256,1178,159,195,0,0,20,26,0,0,452,1418
Secretary Kennedy Appoints New Interagency Autism Coordinating Committee to Advance Fight Against Autism | HHS.gov,/press-room/hhs-kennedy-appoints-new-interagency-autism-coordinating-committee.html,219,230,191,239,13,13,25,27,0,0,446,509
SAMHSA Announces More Than $69 Million in Funding Opportunities for Serious Mental Illness and Suicide Prevention Grant Programs | HHS.gov,/press-room/samhsa-grants-serious-mental-illness-suicide-prevention.html,226,693,186,237,0,0,9,11,0,0,438,964
HHS Announces Heartland Forward MOU to Advance Maternal Health | HHS.gov,/press-room/hhs-announces-heartland-forward-mou-advance-maternal-health.html,312,806,96,129,12,15,18,18,0,0,434,968
HHS Clears Path for Lower-Cost Prescription Drugs Through Direct-to-Consumer Programs | HHS.gov,/press-room/oig-clears-path-for-lower-cost-prescription-drugs.html,207,216,208,258,0,0,10,39,0,0,424,513
FDA Releases Results from Largest-Ever Testing of Infant Formula in the U.S. | HHS.gov,/press-room/fda-releases-results-largest-ever-testing-infant-formula-us.html,263,713,113,133,6,11,40,42,0,0,421,899
HHS Unveils AI Strategy to Transform Agency Operations | HHS.gov,/press-room/hhs-unveils-ai-strategy-to-transform-agency-operations.html,158,167,189,233,0,0,50,62,0,0,415,498
"Secretary Kennedy Brings ‘Take Back Your Health’ Tour to California, Highlights Microbiome Research and Addiction Recovery | HHS.gov",/press-room/secretary-kennedy-take-back-your-health-tour-ca.html,277,1176,99,124,0,0,41,46,0,0,413,1346
HRSA Announces More Than $135 Million to Expand Nutrition Services and Strengthen Rural Health Workforce | HHS.gov,/press-room/hrsa-announces-more-than-dollar-135-million-expand-nutrition-services-strengthen-rural-health-workforce.html,253,717,118,141,23,31,12,17,0,0,405,906
HHS Reinforces Religious and Conscience Exemptions from Childhood Vaccine Mandates | HHS.gov,/press-room/hhs-reinforces-religious-conscience-vaccine-exemptions.html,79,97,302,343,0,0,17,21,0,0,398,461
HHS Takes Bold Step to Restore Public Trust in Vaccines by Reconstituting ACIP | HHS.gov,/press-room/hhs-restore-public-trust-vaccines-acip.html,113,117,219,268,11,13,31,41,0,0,386,465
"Secretary Kennedy Celebrates Hospital Nutrition Commitments, Florida Farm Partnership During ‘Take Back Your Health’ Tour in Miami | HHS.gov",/press-room/secretary-kennedy-celebrates-hospital-nutrition-commitments-florida-farm-partnership-during-take-back-your-health-tour-in-miami.html,179,621,34,42,0,0,0,0,0,0,386,839
HHS Releases Comprehensive Review of Medical Interventions for Children and Adolescents with Gender Dysphoria | HHS.gov,/press-room/gender-dysphoria-report-release.html,189,198,173,247,0,0,14,15,0,0,385,472
Secretary Kennedy and Secretary McMahon Celebrate Medical School Commitments to Increase Nutrition Training for Future Doctors | HHS.gov,/press-room/sec-kennedy-sec-mcmahon-celebrate-med-school-commitments-to-increase-nutrition-training-for-future-doctors.html,219,673,92,113,0,0,19,19,0,0,379,860
HHS Supports Repatriation of U.S. Citizens to Specialized Care Facilities | HHS.gov,/press-room/hhs-supports-repatriation-us-citizens-specialized-care-facilities.html,280,738,80,92,0,0,20,28,0,0,379,858
WTAS: FDA Announces Major Steps to Implement Real-Time Clinical Trials | HHS.gov,/press-room/wtas-fda-announces-major-steps-implement-real-time-clinical-trials.html,264,710,80,94,10,13,17,27,0,0,379,853
"HHS Aligns Health Technology Leadership to Deliver Data Liquidity, Affordability, and an AI-Enabled Health Care System for Americans | HHS.gov",/press-room/hhs-health-tech-leadership-deliver-data-liquidity-affordability-ai-enabled-health-care-system.html,213,658,101,137,0,0,50,60,0,0,361,855
"HHS Secretary Kennedy, CMS Administrator Oz Secure Industry Pledge to Fix Broken Prior Authorization System | HHS.gov",/press-room/kennedy-oz-cms-secure-healthcare-industry-pledge-to-fix-prior-authorization-system.html,215,243,95,133,0,0,39,45,0,0,356,434
HHS Bans Illegal Aliens from Accessing its Taxpayer-Funded Programs | HHS.gov,/press-room/prwora-hhs-bans-illegal-aliens-accessing-taxpayer-funded-programs.html,167,193,136,333,0,0,53,69,0,0,353,595
FDA Launches Framework for Accelerating Development of Individualized Therapies for Ultra-Rare Diseases | HHS.gov,/press-room/fda-launches-framework-accelerating-development-individualized-therapies-ultra-rare-diseases.html,239,683,89,108,11,11,10,12,0,0,352,821
HHS and CMS Announce Healthcare Advisory Committee Members to Improve Patient Care and Modernize the U.S. Healthcare System | HHS.gov,/press-room/hhs-cms-announce-healthcare-advisory-committee-members-improve-patient-care.html,206,669,131,164,0,0,13,21,0,0,348,854
HHS Announces $4 Million KidneyX EMPOWER Prize Challenge and Health Technology Project to Advance Living Kidney Donation and Patient-Centered Innovation | HHS.gov,/press-room/hhs-announces-kidneyx-empower-prize-challenge.html,204,645,92,145,0,0,53,60,0,0,347,850
"HHS, CMS Set Most-Favored-Nation Pricing Targets to End Global Freeloading on American Patients | HHS.gov",/press-room/cms-mfn-lower-us-drug-prices.html,177,205,103,130,0,0,38,59,0,0,338,430
Fact Sheet: HHS’ Transformation to Make America Healthy Again | HHS.gov,/press-room/hhs-restructuring-doge-fact-sheet.html,132,159,137,187,0,0,53,59,0,0,324,427
WTAS: FDA Approves First-Ever Gene Therapy for Treatment of Genetic Hearing Loss Under National Priority Voucher Program | HHS.gov,/press-room/wtas-fda-approves-first-ever-gene-therapy-treatment-genetic-hearing-loss-under-national-priority-voucher-program.html,243,692,45,59,0,0,19,28,0,0,333,816
"Secretary Kennedy Takes ‘Take Back Your Health’ Tour to Ohio, Driving Prevention-First Strategy to Make America Healthy Again | HHS.gov",/press-room/secretary-kennedy-takes-take-back-your-health-tour-ohio.html,225,665,105,137,0,0,0,0,0,0,330,802
"HHS Advances Women’s Health, Removes Misleading FDA Warnings on Hormone Replacement Therapy | HHS.gov",/press-room/hhs-advances-womens-health-removes-misleading-fda-warnings-hormone-replacement-therapy.html,130,138,162,199,19,19,17,19,0,0,328,375
MAHA Commission Unveils Landmark Report Exposing Root Causes of Childhood Chronic Disease Crisis | HHS.gov,/press-room/maha-commission-childhood-chronic-disease-root-causes.html,114,132,177,197,0,0,31,47,0,0,317,376
CMS Launches Landmark $50 Billion Rural Health Transformation Program | HHS.gov,/press-room/cms-rural-health-transformation-program-50-billion.html,137,143,180,216,0,0,0,0,0,0,316,359
Fact Sheet : Ensuring Patient Safety Through Reform of Direct-to-Consumer Pharmaceutical Advertisement Policies | HHS.gov,/press-room/hhs-fda-drug-ad-transparency-fact-sheet.html,70,103,212,299,0,0,17,27,0,0,308,449
Trump Administration Prioritizes Affordability by Announcing Major Crackdown on Health Care Fraud | HHS.gov,/press-room/trump-administration-prioritizes-affordability-announcing-major-crackdown-health-care-fraud.html,193,640,111,151,0,0,4,13,0,0,308,804
ACL Launches Phase 1 of Caregiver AI Prize Competition | HHS.gov,/press-room/acl-launches-phase-1-caregiver-ai-prize-competition.html,199,642,59,77,0,0,39,43,0,0,305,772
SAMHSA Distributes Nearly $800 Million in Block Grants Nationwide for Community-Based Mental Health and Substance Abuse Programs | HHS.gov,/press-room/samhsa-distributes-nearly-dollar-million-block-grants-nationwide-community-based-mental-health-substance-abuse-programs.html,194,638,92,109,0,0,5,9,0,0,303,773
Fact Sheet: Hepatitis B Immunization | HHS.gov,/press-room/fact-sheet-hepatitis-b-immunization.html,63,97,233,259,0,0,5,7,0,0,301,363
"Secretary Kennedy Advances MAHA Agenda in Arizona with Focus on Prevention, Recovery, and Tribal Health | HHS.gov",/press-room/secretary-kennedy-advances-maha-agenda-arizona-focus-prevention-recovery-tribal-health.html,245,675,40,50,0,0,13,14,0,0,296,739
HHS Adopts ACIP Recommendation to Remove Thimerosal from All U.S. Influenza Vaccines | HHS.gov,/press-room/thimerosal-mercury-removed-from-us-flu-vaccines-acip.html,105,117,148,183,27,28,7,9,0,0,286,337
"HHS’ Office for Civil Rights Settles HIPAA Investigation of MMG Fusion, LLC Breach Affecting 15 Million Individuals | HHS.gov",/press-room/ocr-mmg-fusion-hipaa-agreement.html,130,141,108,153,0,0,23,31,0,0,275,355
"Robert F. Kennedy, Jr. Sworn in as 26th Secretary at HHS, President Trump Signs Executive Order to Make America Healthy Again | HHS.gov",/press-room/eo-maha.html,88,92,183,207,0,0,8,8,0,0,278,307
Autism Announcement Fact Sheet | HHS.gov,/press-room/autism-announcement-fact-sheet.html,80,93,174,234,0,0,12,13,0,0,274,361
