# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260601-20260630
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Organic Social,Organic Social,Referral,Referral,SMS,SMS,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,69114,907588,60703,99950,13150,21156,10208,17577,6011,8807,161955,1067320,Grand total
Press Room | HHS.gov,/press-room/index.html,20270,784941,3345,18322,79,6052,816,2598,26,33,24514,815197
"HHS Proposes HTI-5 Rule to Streamline Certification Program, Further Protect Patients from Information Blocking, and Foster an Artificial Intelligence-enabled Future | HHS.gov",/press-room/hhs-proposes-hti-5-rule.html,65,66,0,0,0,0,0,0,0,0,65,66
"HHS, FDA Praise Consumer Brands Association’s Vow to Remove Artificial Colors from America’s Food Supply | HHS.gov",/press-room/fda-praises-consumer-brands-pledge-to-remove-artificial-dyes.html,65,66,0,0,0,0,0,0,0,0,65,66
"Joint Statement by Secretary of Health and Human Services Robert F. Kennedy, Jr. and Secretary of State Marco Rubio on International Health Regulations Amendments | HHS.gov",/press-room/secretary-kennedy-rubio-reject-ihr-amendments-joint-statement.html,65,65,0,0,0,0,0,0,0,0,65,65
"Statement from Dr. Dorothy Fink, Acting Secretary of the U.S. Department of Health and Human Services | HHS.gov",/press-room/dr-fink-statement.html,49,49,16,16,0,0,0,0,0,0,65,65
"CMS Launches Nationwide Push to Remove Ineligible Medicaid Enrollees, Uphold Citizenship Requirements | HHS.gov",/press-room/cms-medicaid-oversight-remove-ineligible-enrollees.html,64,66,0,0,0,0,0,0,0,0,64,66
FDA Acts to Protect Children from Unapproved Fluoride Drug Products | HHS.gov,/press-room/fda-protect-children-unapproved-fluoride-drug-products.html,64,65,0,0,0,0,0,0,0,0,64,65
Joint Task Force to Combat Anti-Semitism Statement on Additional Harvard Actions | HHS.gov,/press-room/anti-semitism-task-force-statement-on-additional-harvard-grants.html,64,65,0,0,0,0,0,0,0,0,64,65
Page Not Found | HHS.gov,/press-room/hhs-acts-bar-hospitals-performing-sex-rejecting-procedures-children.html,28,35,14,20,0,0,22,30,0,0,62,85
Page Not Found | HHS.gov,/press-room/secretary-kennedy-announces-new-funding-mental-illness-addictionhomelessness.html,64,72,0,0,0,0,0,0,0,0,64,72
RFK Jr.: An Apple a Day Is a Good Prescription | HHS.gov,/press-room/wsj-kennedy-op-ed-nutrition-education-requirements-in-medical-training.html,64,64,0,0,0,0,0,0,0,0,64,64
Secretary Kennedy Swears in Louisiana Surgeon General Ralph Abraham as Principal Deputy Director of CDC | HHS.gov,/press-room/secretary-kennedy-swears-in-louisiana-surgeon-general-ralph-abraham-as-principal-deputy-director-of-cdc.html,64,64,0,0,0,0,0,0,0,0,64,64
Indian Health Service Joint Venture Construction Program Selects New Projects | HHS.gov,/press-room/ihs-joint-venture-construction.html,63,63,0,0,0,0,0,0,0,0,63,63
"Secretary Kennedy Celebrates Bold State Action in Oklahoma, Louisiana on Latest MAHA Tour | HHS.gov",/press-room/secretary-kennedy-maha-tour-oklahoma-louisiana-legislation.html,63,63,0,0,0,0,0,0,0,0,63,63
Task Force to Combat Anti-Semitism Statement Regarding Yale’s Actions | HHS.gov,/press-room/anti-semitism-task-force-statement-on-yale.html,63,63,0,0,0,0,0,0,0,0,63,63
"FDA Advances Robust, Transparent Post-Market Chemical Review Program to Keep Food Supply Safe and Healthy | HHS.gov",/press-room/fda-review-chemicals-food-supply.html,62,62,0,0,0,0,0,0,0,0,62,62
Longtime FDA Innovator Appointed as Director of Center for Drug Evaluation and Research | HHS.gov,/press-room/hhs-longtime-fda-innovator-appointed-director-center-drug-evaluation-research.html,62,62,0,0,0,0,0,0,0,0,62,62
ACF Improves Educational Freedom and Opportunities for Families | HHS.gov,/press-room/acf-expands-education-freedom-for-families.html,61,61,0,0,0,0,0,0,0,0,61,61
Fact Sheet: HHS Takes Comprehensive Action to Enforce Conscience Rights and Protect Human Life | HHS.gov,/press-room/fact-sheet-announcements-on-conscience-and-life.html,21,25,33,44,0,0,7,8,0,0,60,77
"HHS Secretary Kennedy, FDA Commissioner Makary to Hold Press Event on Intent to Remove Petroleum-Based Synthetic Dyes in Nation’s Food Supply | HHS.gov",/press-room/hhs-kennedy-fda-makary-food-dyes.html,60,60,0,0,0,0,0,0,0,0,60,60
Joint Task Force Statement Regarding Columbia University | HHS.gov,/press-room/hhs-anti-semitism-joint-task-force-columbia-university-statement.html,60,60,0,0,0,0,0,0,0,0,60,60
HHS’ Civil Rights Office Finds Columbia University in Violation of Federal Civil Rights Law | HHS.gov,/press-room/ocr-columbia-violates-federal-civil-rights-law.html,20,24,32,108,0,0,0,0,0,0,52,132
HHS’ Civil Rights Office Finds Harvard University in Violation of Federal Civil Rights Law | HHS.gov,/press-room/hhs-finds-harvard-in-violation.html,27,27,21,28,0,0,0,0,0,0,48,55
HHS’ Office for Civil Rights Works with North Carolina to Help Young Adult Living in a Hospital Move to the Community | HHS.gov,/press-room/ocr-nc-dhhs-agreement-olmstead.html,9,9,17,21,19,20,0,0,0,0,45,50
"HHS’ Office for Civil Rights Settles HIPAA Ransomware Security Rule Investigation with BST & Co. CPAs, LLP | HHS.gov",/press-room/hhs-ocr-bst-hipaa-settlement.html,23,23,17,38,0,0,0,0,0,0,40,61
HHS Office for Civil Rights Settles HIPAA Security Rule Investigation with Northeast Radiology | HHS.gov,/press-room/hhs-ocr-hipaa-settlement-nerad.html,14,13,14,20,0,0,6,8,0,0,37,48
Measles Outbreak is Call to Action for All of Us | HHS.gov,/press-room/measles-outbreak-call-to-action-for-all-of-us.html,13,13,23,29,0,0,0,0,0,0,36,42
HHS Office of General Counsel Announces Reorganization Effort | HHS.gov,/press-room/ogc-reorganization-effort.html,12,12,23,25,0,0,0,0,0,0,35,37
"HHS’ Civil Rights Office Clarifies Race-Based Prohibitions for Medical Schools to Advance Values of Initiative, Hard Work, and Excellence | HHS.gov",/press-room/guidance-med-schools-dear-colleague-letter.html,9,9,25,27,0,0,0,0,0,0,34,36
HHS’ Office for Civil Rights Settles HIPAA Ransomware Investigation with Syracuse ASC | HHS.gov,/press-room/ocr-hipaa-racap-syracuse-asc.html,13,13,13,17,0,0,7,7,0,0,33,37
President Donald J. Trump Nominates Individuals to Key Posts at the Department of Health and Human Services | HHS.gov,/press-room/potus-nominates-key-hhs-positions.html,12,13,19,19,0,0,0,0,0,0,31,32
Secretary Kennedy Embarks on MAHA Tour | HHS.gov,/press-room/hhs-secretary-kennedy-embarks-maha-tour.html,14,14,15,16,0,0,0,0,0,0,29,30
HHS Supports State Legislation Banning Harmful Food Dyes From School Lunches in West Virginia | HHS.gov,/press-room/west-virginia-morrisey-ban-food-dyes-schools-snap.html,16,19,0,0,0,0,12,13,0,0,28,32
"HHS, DOJ Move to End Sexual Abuse and Harassment of Unaccompanied Alien Children in Shelters Operated by Southwest Key Programs | HHS.gov",/press-room/protecting-uacs-from-abuse.html,11,11,17,19,0,0,0,0,0,0,28,30
HHS’ Civil Rights Office Investigates Alleged Discrimination in Health Care Workforce and Training to Restore Merit-Based Opportunity | HHS.gov,/press-room/restoring-merit-based-opportunity.html,9,12,19,26,0,0,0,0,0,0,26,38
HHS Office for Civil Rights Settles HIPAA Ransomware Cybersecurity Investigation with Neurology Practice | HHS.gov,/press-room/ocr-hipaa-racap-np.html,13,14,8,10,0,0,6,8,0,0,27,32
"HHS, FDA Announce Chemical Contaminants Transparency Tool for Foods | HHS.gov",/press-room/chemical-contaminant-food-fda-research-tool.html,9,9,17,19,0,0,0,0,0,0,26,28
HHS’ Office for Civil Rights Settles HIPAA Security Rule Investigation with Health Fitness Corporation | HHS.gov,/press-room/ocr-settles-hipaa-security-rule-investigation-health-fitness-corporation.html,11,11,11,13,0,0,0,0,0,0,22,24
HHS’ Civil Rights Office Acts Swiftly to Combat Anti-Semitism | HHS.gov,/press-room/combating-anti-semitism.html,9,10,12,14,0,0,0,0,0,0,21,24
HHS Investigates State Health Department to Protect Conscience Rights and Ensure Equal Treatment of Faith-Based Organizations | HHS.gov,/press-room/ocr-investigates-state-to-protect-conscience-and-faith-based-organizations.html,12,12,8,9,0,0,0,0,0,0,20,21
HHS Office for Civil Rights Settles HIPAA Ransomware Cybersecurity Investigation with Public Hospital | HHS.gov,/press-room/hhs-ocr-hipaa-recap-gmha.html,11,11,9,9,0,0,0,0,0,0,20,20
U.S. Department of Education and U.S. Department of Health and Human Services Find that Minnesota Violated Title IX | HHS.gov,/press-room/ocr-ed-hhs-find-mn-violates-title-nine.html,8,8,12,13,0,0,0,0,0,0,20,21
HHS Demands that Duke University Address Systemic Allegations of Race Discrimination | HHS.gov,/press-room/hhs-demands-duke-address-race-discrimination-allegations.html,0,0,18,19,0,0,0,0,0,0,18,19
"HHS Office for Civil Rights Settles HIPAA Ransomware Cybersecurity Investigation with Comstar, LLC | HHS.gov",/press-room/hhs-hipaa-comstar-agreement.html,11,11,7,8,0,0,0,0,0,0,18,19
HHS Secretary Kennedy to Hold Press Conference on Latest CDC Data Showing Alarming Increase of Autism Epidemic | HHS.gov,/press-room/hhs-secretary-kennedy-press-conference-cdc-data-autism-epidemic.html,18,19,0,0,0,0,0,0,0,0,18,19
HHS Acts to Protect Health Care Workers’ Conscience Rights | HHS.gov,/press-room/hhs-protects-workers-conscience-rights.html,0,0,17,17,0,0,0,0,0,0,17,17
HHS Office for Civil Rights Settles HIPAA Cybersecurity Investigation with Vision Upright MRI | HHS.gov,/press-room/hhs-hipaa-investigate-vum.html,10,10,7,9,0,0,0,0,0,0,17,19
HHS Takes Action to Protect Whistleblowers who Defend Children and Launches First Conscience Investigation | HHS.gov,/press-room/hhs-launches-whistleblower-form-to-protect-kids.html,10,12,0,0,0,0,6,11,0,0,16,23
HHS’ Office for Civil Rights Refers Harvard University for Suspension and Debarment Proceedings | HHS.gov,/press-room/ocr-refers-harvard-suspension-debarment.html,5,7,11,15,0,0,0,0,0,0,16,22
"DOJ, HHS, ED, and GSA Announce Initial Cancellation of Grants and Contracts to Columbia University Worth $400 Million | HHS.gov",/press-room/task-force-cancels-columbia-university-grants.html,15,15,0,0,0,0,0,0,0,0,15,15
"HHS, ED, and GSA Initiate Federal Contract and Grant Review of Harvard University | HHS.gov",/press-room/task-force-antisemitism-harvard-contracts-grants.html,14,14,0,0,0,0,0,0,0,0,14,14
HHS’ Civil Rights Office Acts to Promote Fairness in Girls’ Sports | HHS.gov,/press-room/ocr-title-ix-investigation-mn.html,7,7,7,8,0,0,0,0,0,0,14,15
HHS Investigates a Major Health System in Michigan to Safeguard Health Care Workers’ Conscience Rights | HHS.gov,/press-room/ocr-investigates-health-system-in-michigan.html,0,0,11,11,0,0,0,0,0,0,11,11
Page Not Found | HHS.gov,/press-room/joint-statement-on-preeminence-of-us-government-regulating-health-risks-for-americans.html,5,7,6,7,0,0,0,0,0,0,10,14
"ED, HHS Launch Title VI Investigations of Harvard University and Harvard Law Review Amid Allegations of Discriminatory Practices | HHS.gov",/press-room/hhs-ed-title-vi-investigation-harvard-law-review.html,0,0,7,9,0,0,0,0,0,0,7,9
HHS Office for Civil Rights Works with Alabama to Help Young Adult with Autism Move from a State Institution to a Home in the Community | HHS.gov,/press-room/ocr-olmstead-resolution-alabama-department-mental-health.html,0,0,7,9,0,0,0,0,0,0,7,9
HHS’ Civil Rights Office Investigates California Medical School for Discriminatory Race-Based Admissions | HHS.gov,/press-room/ocr-investigates-medical-school-discriminatory-admissions.html,7,12,0,0,0,0,0,0,0,0,7,12
Kennedy Celebrates Bold State and Tribal Leadership on MAHA Tour | HHS.gov,/press-room/secretary-kennedy-maha-tour-arizona-utah-new-mexico.html,7,7,0,0,0,0,0,0,0,0,7,7
プレスルーム |HHS.gov,/press-room/index.html,0,0,4,14,0,0,2,9,0,0,6,23
新闻发布室 |HHS.gov,/press-room/index.html,0,0,4,7,0,0,0,0,0,0,4,7
Page Not Found | HHS.gov,/press-room/secretary-kennedy-announces-historic-development-nutrition-accreditation-standards-new-medical-school-pledges.html,0,0,0,0,0,0,3,7,0,0,3,7
CDC Acts on Presidential Memorandum to Update Childhood Immunization Schedule | HHS.gov,/press-room/cdc-acts-presidential-memorandum-update-childhood-immunization-schedule.html,0,0,0,0,0,0,0,0,0,0,1,25
Page Not Found | HHS.gov,/press-room/secrretary-kennedy-announces-hhs-action-reduce-harmful-screen-use-protect-children-online.html,0,0,1,7,0,0,0,0,0,0,1,7

