# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260701-20260731
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Unassigned,Unassigned,Referral,Referral,Organic Social,Organic Social,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,84130,750914,69511,105523,60802,68722,9112,14534,9359,10410,230396,958523,Grand total
Press Room | HHS.gov,/press-room/index.html,20260,644107,3289,20737,3415,11001,887,2364,87,155,27028,678614
Secretary Kennedy Joins Secretary Burgum to Launch GetActive.gov During Colorado ‘Take Back Your Health’ Tour | HHS.gov,/press-room/secretary-kennedy-launches-getactive-gov-colorado-tour.html,204,205,42,45,18,18,6,7,0,0,266,275
CMS Announces $50 Billion in Awards to Strengthen Rural Health in All 50 States | HHS.gov,/press-room/cms-announces-50-billion-in-awards-to-strengthen-rural-health-in-all-50-states.html,188,204,170,195,35,34,14,22,0,0,400,477
HHS Announces Heartland Forward MOU to Advance Maternal Health | HHS.gov,/press-room/hhs-announces-heartland-forward-mou-advance-maternal-health.html,213,204,53,65,13,12,0,0,0,0,284,304
Joint Statement on the Preeminence of the U.S. Government Regulating Health Risks for Americans | HHS.gov,/press-room/joint-statement-on-preeminence-of-us-government-regulating-health-risks-for-americans.html,213,204,27,30,15,15,8,7,0,0,269,268
"HHS, ED, and GSA Announce Additional Measures to End Anti-Semitic Harassment on College Campuses | HHS.gov",/press-room/ending-anti-semitic-harassment-on-college-campuses.html,225,202,39,41,106,102,21,20,0,0,356,365
Secretary Kennedy Appoints New Interagency Autism Coordinating Committee to Advance Fight Against Autism | HHS.gov,/press-room/hhs-kennedy-appoints-new-interagency-autism-coordinating-committee.html,196,197,154,172,35,35,8,8,6,7,386,419
FDA Accelerates Action on Treatments for Serious Mental Illness Following Executive Order | HHS.gov,/press-room/fda-accelerates-action-treatments-serious-mental-illness-following-executive-order.html,201,196,97,115,16,16,0,0,0,0,315,334
"Secretary Kennedy Takes ‘Take Back Your Health’ Tour to Ohio, Driving Prevention-First Strategy to Make America Healthy Again | HHS.gov",/press-room/secretary-kennedy-takes-take-back-your-health-tour-ohio.html,214,195,44,51,28,28,0,0,0,0,279,274
WTAS: FDA Launches Framework for Accelerating Development of Individualized Therapies for Ultra-Rare Diseases | HHS.gov,/press-room/wtas-fda-launches-framework-accelerating-therapies-ultra-rare-diseases.html,210,195,87,80,29,29,0,0,0,0,312,304
"HHS Replaces Legacy COBOL Payroll System, Delivering Faster, More Reliable Services | HHS.gov",/press-room/hhs-replaces-legacy-payroll-system-improving-service-delivery.html,212,194,29,49,26,26,5,8,0,0,257,277
FDA Launches Framework for Accelerating Development of Individualized Therapies for Ultra-Rare Diseases | HHS.gov,/press-room/fda-launches-framework-accelerating-development-individualized-therapies-ultra-rare-diseases.html,205,191,58,81,30,29,0,0,0,0,284,301
"Secretary Kennedy Celebrates Landmark Iowa MAHA Legislation, Announces First-Ever Surgeon General Warning on Excessive Screen Time | HHS.gov",/press-room/iowa-maha-bill-screen-time-advisory-warning.html,195,191,44,41,10,10,0,0,16,17,263,259
"Secretary Kennedy Highlights Dairy Farmers, Infant Formula Safety, and Addiction Recovery as 'Take Back Your Health' Tour Stops in Wisconsin | HHS.gov",/press-room/secretary-kennedy-wisconsin-tour-dairy-formula-addiction-recovery.html,198,186,28,30,17,17,7,10,0,0,247,243
Secretary Kennedy and Secretary McMahon Celebrate Medical School Commitments to Increase Nutrition Training for Future Doctors | HHS.gov,/press-room/sec-kennedy-sec-mcmahon-celebrate-med-school-commitments-to-increase-nutrition-training-for-future-doctors.html,196,186,35,40,17,15,19,19,0,0,266,267
HHS Clears Path for Lower-Cost Prescription Drugs Through Direct-to-Consumer Programs | HHS.gov,/press-room/oig-clears-path-for-lower-cost-prescription-drugs.html,194,185,140,153,37,37,11,15,0,0,365,398
WTAS: FDA Approves Drug to Treat Neurologic Manifestations of Hunter Syndrome | HHS.gov,/press-room/wtas-fda-approves-drug-treat-neurologic-manifestations-hunter-syndrome.html,199,185,16,18,15,15,0,0,0,0,226,218
HHS and CMS Announce Healthcare Advisory Committee Members to Improve Patient Care and Modernize the U.S. Healthcare System | HHS.gov,/press-room/hhs-cms-announce-healthcare-advisory-committee-members-improve-patient-care.html,190,184,97,114,19,19,11,10,1,8,306,335
Trump Administration Prioritizes Affordability by Announcing Major Crackdown on Health Care Fraud | HHS.gov,/press-room/trump-administration-prioritizes-affordability-announcing-major-crackdown-health-care-fraud.html,192,181,56,63,18,18,8,12,0,0,275,289
"WTAS: FDA Takes New Approach to ""No Artificial Colors"" Claims | HHS.gov",/press-room/wtas-fda-no-artificial-colors-claims.html,196,181,8,10,14,14,0,0,0,0,215,205
"WTAS: Secretary Kennedy Celebrates Hospital Nutrition Commitments, Florida Farm Partnership During Take Back Your Health Tour in Miami | HHS.gov",/press-room/wtas-sec-kennedy-celebrates-hospital-nutrition-commitments-florida-farm-partnership-during-take-back-your-health-tour-miami.html,191,180,5,8,14,14,0,0,0,0,208,202
HHS Announces Restructuring of its Office for Civil Rights | HHS.gov,/press-room/hhs-announces-restructuring-of-its-office-for-civil-rights.html,180,179,174,202,20,19,30,38,0,0,401,447
"Secretary Kennedy Celebrates Hospital Nutrition Commitments, Florida Farm Partnership During ‘Take Back Your Health’ Tour in Miami | HHS.gov",/press-room/secretary-kennedy-celebrates-hospital-nutrition-commitments-florida-farm-partnership-during-take-back-your-health-tour-in-miami.html,187,179,39,50,13,13,0,0,11,11,250,253
WTAS: HHS Bars Research Using Human Fetal Tissue from Elective Abortions and Other Departmental Actions | HHS.gov,/press-room/wtas-hhs-bars-research-using-human-fetal-tissue-from-elective-abortions.html,187,178,63,51,46,46,2,9,0,0,280,284
WTAS: Secretary Kennedy Announces $100 Million Investment in Great American Recovery | HHS.gov,/press-room/wtas-secretary-kennedy-announces-100-million-investment-great-american-recovery.html,198,178,16,23,18,18,6,19,0,0,228,238
HHS Bars Research Using Human Fetal Tissue from Elective Abortions | HHS.gov,/press-room/hhs-bars-research-using-human-fetal-tissue-from-elective-abortions.html,179,177,76,63,53,53,0,0,7,7,288,300
"WTAS: HHS, EPA Announce Historic Actions to Protect Americans from Microplastics and Safeguard Drinking Water | HHS.gov",/press-room/wtas-hhs-epa-announce-historic-actions-protect-americans-microplastics-safeguard-drinking-water.html,192,177,10,10,18,17,0,0,0,0,214,204
FDA Releases Results from Largest-Ever Testing of Infant Formula in the U.S. | HHS.gov,/press-room/fda-releases-results-largest-ever-testing-infant-formula-us.html,189,176,97,105,15,15,9,10,0,0,304,306
Secretary Kennedy Appoints New Chair and Ten New Members to Federal Alzheimer’s Advisory Council | HHS.gov,/press-room/hhs-kennedy-appoints-new-chair-ten-members-federal-alzheimers-advisory-council.html,183,176,47,43,18,18,0,0,0,0,239,237
WTAS: Secretary Kennedy and Secretary McMahon Celebrate Medical School Commitments to Increase Nutrition Training for Future Doctors | HHS.gov,/press-room/wtas-sec-kennedy-sec-mcmahon-celebrate-med-school-commitments-to-increase-nutrition-training-for-future-doctors.html,192,176,0,0,14,14,0,0,0,0,203,190
"WTAS: Kennedy, Rollins Unveil Historic Reset of U.S. Nutrition Policy, Put Real Food Back at Center of Health | HHS.gov",/press-room/wtas-historic-reset-federal-nutrition-policy.html,185,174,17,17,20,19,0,0,0,0,216,210
SAMHSA Announces More Than $69 Million in Funding Opportunities for Serious Mental Illness and Suicide Prevention Grant Programs | HHS.gov,/press-room/samhsa-grants-serious-mental-illness-suicide-prevention.html,188,173,76,83,19,17,6,9,0,0,280,282
"HHS, Education Refer Minnesota to DOJ for Allowing Males in Girls’ Sports | HHS.gov",/press-room/hhs-education-refer-minnesota-to-doj-for-allowing-males-in-girls-sports.html,184,172,0,0,19,19,0,0,0,0,197,191
HHS to Close Biden-Era Loophole That Let States Pay Child Care Providers Without Counting Attendance | HHS.gov,/press-room/hhs-close-biden-era-loophole-states-pay-child-care-providers-without-counting-attendance.html,185,171,50,54,32,32,0,0,0,0,254,257
"HHS, FDA to Phase Out Petroleum-Based Synthetic Dyes in Nation’s Food Supply | HHS.gov",/press-room/hhs-fda-food-dyes-food.html,174,171,72,73,38,37,38,42,0,0,315,355
