# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260701-20260731
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Unassigned,Unassigned,Referral,Referral,Organic Social,Organic Social,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,84130,750914,69511,105523,60802,68722,9112,14534,9359,10410,230396,958523,Grand total
Press Room | HHS.gov,/press-room/index.html,20260,644107,3289,20737,3415,11001,887,2364,87,155,27028,678614
All 50 States Seek to Transform Rural Health with CMS | HHS.gov,/press-room/all-50-states-seek-transform-rural-health-cms.html,62,61,9,13,0,0,0,0,0,0,71,74
"CMS Launches Nationwide Push to Remove Ineligible Medicaid Enrollees, Uphold Citizenship Requirements | HHS.gov",/press-room/cms-medicaid-oversight-remove-ineligible-enrollees.html,61,61,0,0,0,0,2,12,0,0,63,73
HHS Celebrates 100 Days of Big Wins to Make America Healthy Again | HHS.gov,/press-room/hhs-celebrates-100-days-big-wins-maha.html,60,61,0,0,0,0,0,0,0,0,60,61
"HHS, FDA Initiate Comprehensive Review of Nutrients in Infant Formula | HHS.gov",/press-room/fda-review-infant-formula-nutrients-operation-stork-speed.html,61,61,10,12,0,0,0,0,0,0,71,73
Joint Task Force Statement Regarding Columbia University | HHS.gov,/press-room/hhs-anti-semitism-joint-task-force-columbia-university-statement.html,61,61,0,0,0,0,0,0,0,0,61,61
Joint Task Force to Combat Anti-Semitism Statement on Additional Harvard Actions | HHS.gov,/press-room/anti-semitism-task-force-statement-on-additional-harvard-grants.html,61,61,0,0,0,0,0,0,0,0,61,61
"Secretary Kennedy Celebrates Bold State Action in Oklahoma, Louisiana on Latest MAHA Tour | HHS.gov",/press-room/secretary-kennedy-maha-tour-oklahoma-louisiana-legislation.html,61,61,7,7,0,0,0,0,0,0,68,68
Secretary Kennedy Swears in Louisiana Surgeon General Ralph Abraham as Principal Deputy Director of CDC | HHS.gov,/press-room/secretary-kennedy-swears-in-louisiana-surgeon-general-ralph-abraham-as-principal-deputy-director-of-cdc.html,61,61,0,0,0,0,0,0,0,0,61,61
"ED, HHS, and GSA Initiate Review of Anti-Semitic Activity at the University of Washington | HHS.gov",/press-room/anti-semitism-task-force-statement-on-university-of-washington.html,60,60,0,0,0,0,0,0,0,0,60,60
FACT SHEET: Secretary Kennedy and Secretary McMahon Celebrate Medical School Commitments to Increase Nutrition Training for Future Doctors | HHS.gov,/press-room/fact-sheet-sec-kennedy-sec-mcmahon-celebrate-med-school-commitments-to-increase-nutrition-training-for-future-doctors.html,55,60,95,115,17,17,16,24,7,9,187,237
FDA Names Top HHS Lawyer as Chief Counsel | HHS.gov,/press-room/fda-appoints-sean-keveney-chief-counsel.html,61,60,16,13,0,0,3,11,0,0,80,84
"HHS Celebrates 60 Years of the Head Start Program Transforming the Lives of Children Furthest from Opportunity, and Empowering Families Through Education, Health, and Training | HHS.gov",/press-room/head-start-60th-anniversay.html,60,60,6,7,0,0,0,0,0,0,66,67
"HHS, FDA Praise Consumer Brands Association’s Vow to Remove Artificial Colors from America’s Food Supply | HHS.gov",/press-room/fda-praises-consumer-brands-pledge-to-remove-artificial-dyes.html,60,60,0,0,0,0,0,0,0,0,60,60
HHS’ Civil Rights Office Takes Action to Support President Trump’s Executive Orders to Protect Minors and Restore Biological Truth | HHS.gov,/press-room/eo-restoring-biological-truth.html,58,60,34,37,16,16,22,27,0,0,123,140
Longtime FDA Innovator Appointed as Director of Center for Drug Evaluation and Research | HHS.gov,/press-room/hhs-longtime-fda-innovator-appointed-director-center-drug-evaluation-research.html,60,60,0,0,0,0,0,0,0,0,60,60
"Secretary Kennedy, Governor Abbott Celebrate Landmark Reforms to Make Texas Healthy Again | HHS.gov",/press-room/secretary-kennedy-maha-tour-austin-tx.html,60,60,0,0,0,0,0,0,0,0,60,60
Statement from the U.S. Department of Health and Human Services | HHS.gov,/press-room/hhs-secretary-kennedy-visits-cdc-after-atlanta-shooting.html,60,60,9,9,0,0,0,0,0,0,69,69
ACF Improves Educational Freedom and Opportunities for Families | HHS.gov,/press-room/acf-expands-education-freedom-for-families.html,59,59,0,0,0,0,0,0,0,0,59,59
"FDA Advances Robust, Transparent Post-Market Chemical Review Program to Keep Food Supply Safe and Healthy | HHS.gov",/press-room/fda-review-chemicals-food-supply.html,59,59,0,0,0,0,0,0,0,0,59,59
FDA Begins Action to Remove Ingestible Fluoride Prescription Drug Products for Children from the Market | HHS.gov,/press-room/fda-to-remove-ingestible-fluoride-drug-products-for-children.html,59,59,12,10,0,0,0,0,0,0,71,69
"HHS Secretary Kennedy, FDA Commissioner Makary to Hold Press Event on Intent to Remove Petroleum-Based Synthetic Dyes in Nation’s Food Supply | HHS.gov",/press-room/hhs-kennedy-fda-makary-food-dyes.html,59,59,0,0,0,0,0,0,0,0,59,59
"HHS, FDA Announce Operation Stork Speed to Expand Options for Safe, Reliable, and Nutritious Infant Formula for American Families | HHS.gov",/press-room/operation-stork-speed.html,59,59,44,47,7,7,10,13,0,0,116,126
Task Force to Combat Anti-Semitism Statement Regarding Yale’s Actions | HHS.gov,/press-room/anti-semitism-task-force-statement-on-yale.html,59,59,0,0,0,0,0,0,0,0,59,59
"HHS’ Office for Civil Rights Settles HIPAA Right of Access Investigation with Concentra, Inc. | HHS.gov",/press-room/ocr-settles-with-concentra.html,55,58,56,57,13,13,9,7,0,0,127,135
HHS’ Office for Civil Rights Settles HIPAA Investigation of Cadia Healthcare Facilities for Disclosure of Patients’ Protected Health Information | HHS.gov,/press-room/ocr-settles-hipaa-with-cadia-healthcare-facilities.html,54,55,48,58,10,10,15,23,0,0,135,167
"RFK Jr.: I’m fighting chronic disease, slashing unhealthy fat at HHS | HHS.gov",/press-room/ny-post-kennedy-op-ed-slashing-unhealthy-fat-hhs.html,39,53,58,62,9,9,0,0,0,0,102,124
HHS’ Office for Civil Rights Settles HIPAA Privacy and Security Rule Investigation with a Behavioral Health Provider | HHS.gov,/press-room/ocr-hipaa-racap-deer-oaks.html,50,51,32,28,0,0,2,18,0,0,91,120
HHS Takes Comprehensive Action to Enforce Conscience Rights and Protect Human Life | HHS.gov,/press-room/conscience-dlc.html,55,49,26,32,9,10,4,7,0,0,94,111
FACT SHEET: Bringing Lower-Cost Biosimilar Drugs to American Patients | HHS.gov,/press-room/fact-sheet-bringing-lower-cost-biosimilar-drugs-to-american-patients.html,45,43,68,73,30,29,13,15,0,0,142,168
HHS Office for Civil Rights Secures Agreement with Bayhealth Medical Center to Ensure Effective Communication for Individuals with Disabilities | HHS.gov,/press-room/hhs-ocr-bmc-ec-disability-agreement.html,46,41,0,0,0,0,0,0,0,0,46,41
Page Not Found | HHS.gov,/press-room/hhs-fda-support-dea-7-oh-scheduling.html,21,32,0,0,0,0,0,0,0,0,21,32
HHS’ Civil Rights Office Acts Swiftly to Combat Anti-Semitism | HHS.gov,/press-room/combating-anti-semitism.html,16,30,10,8,0,0,0,0,0,0,26,38
"HHS’ Office for Civil Rights Settles HIPAA Ransomware Security Rule Investigation with BST & Co. CPAs, LLP | HHS.gov",/press-room/hhs-ocr-bst-hipaa-settlement.html,32,30,23,38,0,0,0,0,0,0,55,68
Secretary Kennedy Renews Public Health Emergency Declaration to Address National Opioid Crisis | HHS.gov,/press-room/secretary-kennedy-opiod-crisis-emergency-declaration.html,25,30,70,85,7,7,0,0,0,0,101,129
HHS Secretary Kennedy to Hold Press Conference on Latest CDC Data Showing Alarming Increase of Autism Epidemic | HHS.gov,/press-room/hhs-secretary-kennedy-press-conference-cdc-data-autism-epidemic.html,29,29,5,7,0,0,0,0,0,0,34,36
"HHS Office for Civil Rights Settles Phishing Attack Breach with Health Care Network for $600,000 | HHS.gov",/press-room/ocr-hipaa-racap-pih.html,22,28,45,51,9,9,0,0,0,0,110,157
HHS Supports State Legislation Banning Harmful Food Dyes From School Lunches in West Virginia | HHS.gov,/press-room/west-virginia-morrisey-ban-food-dyes-schools-snap.html,27,25,0,0,7,7,0,0,0,0,32,32
"Statement from Dr. Dorothy Fink, Acting Secretary of the U.S. Department of Health and Human Services | HHS.gov",/press-room/dr-fink-statement.html,26,25,14,14,0,0,0,0,0,0,40,39
HHS’ Office for Civil Rights Works with North Carolina to Help Young Adult Living in a Hospital Move to the Community | HHS.gov,/press-room/ocr-nc-dhhs-agreement-olmstead.html,19,24,13,15,0,0,0,0,0,0,32,39
"DOJ, HHS, ED, and GSA Announce Initial Cancellation of Grants and Contracts to Columbia University Worth $400 Million | HHS.gov",/press-room/task-force-cancels-columbia-university-grants.html,19,23,0,0,0,0,10,7,0,0,29,30
HHS Office for Civil Rights Settles HIPAA Security Rule Investigation with a Florida Health Care Provider | HHS.gov,/press-room/hhs-ocr-hipaa-agreement-baycare.html,17,21,38,46,9,8,0,0,0,0,75,99
HHS’ Civil Rights Office Finds Columbia University in Violation of Federal Civil Rights Law | HHS.gov,/press-room/ocr-columbia-violates-federal-civil-rights-law.html,23,21,27,90,9,8,7,11,0,0,60,130
HHS’ Office for Civil Rights Settles HIPAA Ransomware Investigation with Syracuse ASC | HHS.gov,/press-room/ocr-hipaa-racap-syracuse-asc.html,20,19,17,13,8,8,0,0,0,0,43,40
HHS’ Office for Civil Rights Settles HIPAA Security Rule Investigation with Health Fitness Corporation | HHS.gov,/press-room/ocr-settles-hipaa-security-rule-investigation-health-fitness-corporation.html,20,19,16,11,0,0,0,0,0,0,36,30
Secretary Kennedy Embarks on MAHA Tour | HHS.gov,/press-room/hhs-secretary-kennedy-embarks-maha-tour.html,19,19,10,7,0,0,0,0,0,0,29,26
HHS Office for Civil Rights Settles HIPAA Ransomware Cybersecurity Investigation with Public Hospital | HHS.gov,/press-room/hhs-ocr-hipaa-recap-gmha.html,14,18,0,0,0,0,0,0,0,0,19,27
HHS Acts to Protect Health Care Workers’ Conscience Rights | HHS.gov,/press-room/hhs-protects-workers-conscience-rights.html,18,17,13,18,0,0,5,10,0,0,35,45
HHS Takes Action to Protect Whistleblowers who Defend Children and Launches First Conscience Investigation | HHS.gov,/press-room/hhs-launches-whistleblower-form-to-protect-kids.html,21,17,0,0,7,8,5,12,0,0,29,37
Page Not Found | HHS.gov,/press-room/hhs-va-partner-advance-psychedelic-therapies-veterans.html,15,17,0,0,0,0,5,8,0,0,32,39
Fact Sheet: Hepatitis B Immunization | HHS.gov,/press-room/fact-sheet-hepatitis-b-immunization.html,16,16,175,167,26,26,0,0,0,0,203,216
HHS’ Civil Rights Office Finds Harvard University in Violation of Federal Civil Rights Law | HHS.gov,/press-room/hhs-finds-harvard-in-violation.html,17,14,22,22,0,0,0,0,0,0,39,36
WTAS: New Cervical Cancer Screening Guidelines | HHS.gov,/press-room/wtas-new-cervical-cancer-screening-guidelines.html,15,14,46,40,10,10,0,0,0,0,62,64
"HHS Office for Civil Rights Settles HIPAA Ransomware Cybersecurity Investigation with Comstar, LLC | HHS.gov",/press-room/hhs-hipaa-comstar-agreement.html,18,13,0,0,0,0,0,0,0,0,18,13
HHS Office for Civil Rights Settles HIPAA Ransomware Cybersecurity Investigation with Neurology Practice | HHS.gov,/press-room/ocr-hipaa-racap-np.html,15,13,15,10,0,0,0,0,0,0,30,23
U.S. Department of Education and U.S. Department of Health and Human Services Find that Minnesota Violated Title IX | HHS.gov,/press-room/ocr-ed-hhs-find-mn-violates-title-nine.html,13,12,7,12,0,0,0,0,0,0,20,24
HHS Office for Civil Rights Settles HIPAA Cybersecurity Investigation with Vision Upright MRI | HHS.gov,/press-room/hhs-hipaa-investigate-vum.html,10,11,16,12,0,0,0,0,0,0,26,23
HHS’ Civil Rights Office Acts to Promote Fairness in Girls’ Sports | HHS.gov,/press-room/ocr-title-ix-investigation-mn.html,11,11,0,0,0,0,0,0,0,0,11,11
HHS Office for Civil Rights Settles HIPAA Security Rule Investigation with Northeast Radiology | HHS.gov,/press-room/hhs-ocr-hipaa-settlement-nerad.html,8,10,20,22,0,0,0,0,0,0,35,45
"HHS, ED, and GSA Initiate Federal Contract and Grant Review of Harvard University | HHS.gov",/press-room/task-force-antisemitism-harvard-contracts-grants.html,12,10,8,7,0,0,0,0,0,0,20,17
"HHS, ED, and GSA Respond to Columbia University’s Actions to Comply with Joint Task Force Pre-Conditions | HHS.gov",/press-room/columbia-comply-anti-semitism-task-force-preconditions-met.html,10,10,0,0,0,0,0,0,0,0,10,10
"HHS, FDA Announce Chemical Contaminants Transparency Tool for Foods | HHS.gov",/press-room/chemical-contaminant-food-fda-research-tool.html,11,10,17,19,0,0,0,0,0,0,28,29
Joint Task Force Statement Regarding Harvard University | HHS.gov,/press-room/anti-semitism-task-force-statement-on-harvard-contracts-grants.html,11,10,0,0,0,0,0,0,0,0,11,10
Kennedy Celebrates Bold State and Tribal Leadership on MAHA Tour | HHS.gov,/press-room/secretary-kennedy-maha-tour-arizona-utah-new-mexico.html,11,10,0,0,0,0,0,0,0,0,11,10
HHS Office for Civil Rights Works with Alabama to Help Young Adult with Autism Move from a State Institution to a Home in the Community | HHS.gov,/press-room/ocr-olmstead-resolution-alabama-department-mental-health.html,9,9,0,0,0,0,0,0,0,0,9,9
Measles Outbreak is Call to Action for All of Us | HHS.gov,/press-room/measles-outbreak-call-to-action-for-all-of-us.html,10,9,18,13,7,7,0,0,0,0,31,29
HHS Announces Paula M. Stannard as Director of the Office for Civil Rights | HHS.gov,/press-room/ocr-announces-director.html,7,8,54,56,0,0,0,0,0,0,60,64
HHS Demands that Duke University Address Systemic Allegations of Race Discrimination | HHS.gov,/press-room/hhs-demands-duke-address-race-discrimination-allegations.html,9,8,32,34,0,0,0,0,0,0,41,42
"HHS’ Civil Rights Office Clarifies Race-Based Prohibitions for Medical Schools to Advance Values of Initiative, Hard Work, and Excellence | HHS.gov",/press-room/guidance-med-schools-dear-colleague-letter.html,8,8,18,20,0,0,0,0,0,0,26,28
President Donald J. Trump Nominates Individuals to Key Posts at the Department of Health and Human Services | HHS.gov,/press-room/potus-nominates-key-hhs-positions.html,9,8,15,15,0,0,0,0,0,0,24,23
HHS’ Civil Rights Office Investigates Alleged Discrimination in Health Care Workforce and Training to Restore Merit-Based Opportunity | HHS.gov,/press-room/restoring-merit-based-opportunity.html,7,7,22,31,0,0,0,0,0,0,29,38
CDC Acts on Presidential Memorandum to Update Childhood Immunization Schedule | HHS.gov,/press-room/cdc-acts-presidential-memorandum-update-childhood-immunization-schedule.html,0,0,0,0,0,0,0,0,0,0,2,42
"ED, HHS Launch Title VI Investigations of Harvard University and Harvard Law Review Amid Allegations of Discriminatory Practices | HHS.gov",/press-room/hhs-ed-title-vi-investigation-harvard-law-review.html,0,0,6,9,0,0,0,0,0,0,6,9
HHS Investigates State Health Department to Protect Conscience Rights and Ensure Equal Treatment of Faith-Based Organizations | HHS.gov,/press-room/ocr-investigates-state-to-protect-conscience-and-faith-based-organizations.html,0,0,9,7,0,0,0,0,0,0,9,7
HHS Investigates a Major Health System in Michigan to Safeguard Health Care Workers’ Conscience Rights | HHS.gov,/press-room/ocr-investigates-health-system-in-michigan.html,0,0,9,8,0,0,0,0,0,0,11,16
HHS Office of General Counsel Announces Reorganization Effort | HHS.gov,/press-room/ogc-reorganization-effort.html,0,0,11,11,0,0,0,0,0,0,11,11
"HHS Secretary Kennedy Secures Pledge from Insurers, Medical Societies, and Providers to Advance National Behavioral Health Quality and Best Practices | HHS.gov",/press-room/hhs-secures-behavioral-health-quality-pledge.html,0,0,0,0,16728,16784,0,0,0,0,16728,16784
HHS' Civil Rights Office Launches Investigation into Alleged Civil Rights Violations in Legal Scholarship Program Operated Nationwide | HHS.gov,/press-room/ocr-investigates-alleged-bias-in-legal-scholarship-program.html,0,0,7,8,0,0,0,0,0,0,7,8
"HHS, DOJ Move to End Sexual Abuse and Harassment of Unaccompanied Alien Children in Shelters Operated by Southwest Key Programs | HHS.gov",/press-room/protecting-uacs-from-abuse.html,0,0,9,7,0,0,0,0,0,0,9,7
HHS’ Civil Rights Office Investigates California Medical School for Discriminatory Race-Based Admissions | HHS.gov,/press-room/ocr-investigates-medical-school-discriminatory-admissions.html,0,0,12,15,0,0,0,0,0,0,12,15
HHS’ Office for Civil Rights Refers Harvard University for Suspension and Debarment Proceedings | HHS.gov,/press-room/ocr-refers-harvard-suspension-debarment.html,0,0,13,13,0,0,0,0,0,0,13,13
HHS’ Office for Civil Rights Settles Ransomware Investigation with Healthcare System | HHS.gov,/press-room/hhs-ocr-settles-ransomware-investigation-with-healthcare-system.html,0,0,0,0,183,187,0,0,0,0,183,187
"Joint Statement on Strengthening Vaccine Safety, Accountability, and American Leadership in Global Health | HHS.gov",/press-room/joint-statement-strengthening-vaccine-safety-accountability-american-leadership-global-health.html,0,0,0,0,2663,2667,0,0,0,0,2663,2667
Joint Statement on the United States Government Policy for Stopping High-Risk Life Sciences Research | HHS.gov,/press-room/joint-statement-high-risk-life-sciences-research.html,0,0,0,0,12811,12842,0,0,0,0,12811,12842
OCR Releases Notice of Violation to Columbia University | HHS.gov,/press-room/ocr-releases-nov-to-columbia.html,0,0,10,10,0,0,0,0,0,0,10,10
SAMHSA Awards $73.2 Million for Mental Health Treatment and Suicide Prevention Programs | HHS.gov,/press-room/samhsa-awards-73-million-mental-health-suicide-prevention-grants.html,0,0,0,0,113,112,0,0,0,0,113,112
"Secretary Kennedy Launches The Real Food Show to Inspire Americans to Cook Healthy, Affordable Meals at Home | HHS.gov",/press-room/secretary-kennedy-launches-real-food-show.html,0,0,0,0,1189,1190,0,0,0,0,1189,1190
Trump Administration Releases New Government-Wide Policy to End Dangerous High-Risk Research | HHS.gov,/press-room/stopping-high-risk-life-sciences-research.html,0,0,0,0,5911,5960,0,0,0,0,5911,5960
新闻发布室 |HHS.gov,/press-room/index.html,0,0,4,7,0,0,0,0,0,0,4,7

